[31, -86, -80, 115, -41, -64, -87, -60, -38, -5, -19, 43, -19, -70, -73, 84, -122, 29, -78, -41, 66, -20, 81, 97]
[6, -54, 99, 36, -43, -15, -23, 34, -88, -27, 36, 85, -17, 20, 41, -118, -96, 2, 5, -16, -33, -87, -7, -73]
[-79, -73, -17, -42, -74, 67, 67, 56, 53, 12, -66, -25, -29, 75, -76, 49, -100, 102, 3, 51, 121, -1, -30, -36]
[77, -84, -88, -23, 26, 121, 16, -51, 61, 119, 50, 69, -73, -79, 25, -97, -3, -20, -122, 72, -34, 6, 77, -20]
[46, 86, -79, 63, -97, 100, 93, -10, 54, 40, 81, 112, -122, 21, 86, 92, -105, -54, -48, -110, 48, 37, 33, 109]
[-12, 51, 54, -22, 95, -110, -75, -45, -91, 26, -15, 62, 47, 28, 61, 106, 43, -73, 76, -86, 109, 124, 105, -117]
[40, 102, -54, -27, -54, -106, 28, 19, 96, -19, 97, -61, -114, -6, -25, -79, -8, 55, 32, -32, 31, -119, 3, -16]
[-91, 55, 51, 70, 16, -70, 35, 66, -40, 16, -53, -38, -85, 113, 51, 96, -71, -76, 104, -72, -55, -64, -29, 58]
[10, 79, 18, 20, 100, -89, 74, 102, -31, 83, 120, 4, -42, 40, -113, 15, -77, 49, -89, 116, 105, -118, -80, -21]
[80, 20, -87, -81, -48, 112, 16, 63, -29, 98, 118, 72, -103, -13, 119, -47, -89, -7, -53, -34, -94, -32, 67, -15]
